Wall Time (ms),CPU Time (ms),Comparisons,Swaps
435.20709999575047,437.5,12497500,1242
422.35400000208756,421.875,12497500,1239
431.3462999998592,421.875,12497500,1245
408.2557000001543,406.25,12497500,1244
414.7443999972893,406.25,12497500,1241
407.38730000157375,375.0,12497500,1240
407.12730000086594,406.25,12497500,1245
402.5337999992189,375.0,12497500,1244
397.46890000242274,390.625,12497500,1241
415.9815000020899,421.875,12497500,1243
417.672900002799,406.25,12497500,1240
397.0551999955205,390.625,12497500,1241
421.8230999977095,421.875,12497500,1245
410.48199999931967,406.25,12497500,1240
411.71179999946617,390.625,12497500,1241
406.80190000421135,406.25,12497500,1239
409.20989999722224,375.0,12497500,1242
432.6160999989952,421.875,12497500,1238
414.136100000178,390.625,12497500,1237
446.7458999934024,437.5,12497500,1244
417.815699998755,406.25,12497500,1244
411.9129999962752,406.25,12497500,1239
404.90809999755584,406.25,12497500,1245
412.717999999586,406.25,12497500,1239
402.8489999982412,406.25,12497500,1241
410.0121000010404,406.25,12497500,1244
409.5471999971778,406.25,12497500,1246
413.9398999977857,421.875,12497500,1242
396.8192000029376,375.0,12497500,1242
401.49709999968763,406.25,12497500,1244
402.521700001671,375.0,12497500,1245
403.00310000020545,375.0,12497500,1244
401.21779999753926,390.625,12497500,1243
401.96840000135126,406.25,12497500,1244
421.57160000351723,421.875,12497500,1241
409.7092000010889,406.25,12497500,1244
404.92230000381824,390.625,12497500,1247
387.5798999943072,375.0,12497500,1240
386.38609999907203,375.0,12497500,1242
408.0651999975089,406.25,12497500,1246
405.2531999986968,375.0,12497500,1244
400.0975000017206,390.625,12497500,1235
384.8865999971167,375.0,12497500,1241
420.00589999952354,421.875,12497500,1246
397.90749999519903,390.625,12497500,1241
400.5464999936521,390.625,12497500,1236
405.89940000063507,406.25,12497500,1244
402.86039999773493,406.25,12497500,1237
404.65360000234796,375.0,12497500,1242
396.117399999639,375.0,12497500,1243
407.2315000012168,406.25,12497500,1245
401.9394999995711,390.625,12497500,1243
407.3858999981894,406.25,12497500,1242
402.5861999980407,406.25,12497500,1240
397.9338999997708,375.0,12497500,1237
398.0661000023247,359.375,12497500,1239
393.7579000048572,390.625,12497500,1242
406.4178999979049,406.25,12497500,1244
399.2188999982318,406.25,12497500,1242
412.22250000282656,406.25,12497500,1241
414.7073999993154,421.875,12497500,1243
403.1962000008207,375.0,12497500,1243
402.8459000037401,375.0,12497500,1242
405.33559999312274,406.25,12497500,1246
397.2009999997681,406.25,12497500,1244
403.1518999981927,390.625,12497500,1242
398.43979999568546,390.625,12497500,1244
402.67199999652803,406.25,12497500,1246
407.1408000017982,406.25,12497500,1244
385.48729999456555,375.0,12497500,1243
413.11470000073314,406.25,12497500,1241
392.6099000018439,359.375,12497500,1245
408.141700005217,390.625,12497500,1243
398.42420000059064,406.25,12497500,1241
411.4257000037469,390.625,12497500,1244
414.2455000037444,421.875,12497500,1245
403.25879999727476,375.0,12497500,1241
399.69209999981103,390.625,12497500,1244
408.35949999745935,390.625,12497500,1243
406.7587000026833,406.25,12497500,1241
397.3799000013969,390.625,12497500,1244
415.26149999845074,406.25,12497500,1239
406.1139999976149,390.625,12497500,1239
403.12039999844274,390.625,12497500,1236
409.60460000496823,406.25,12497500,1244
398.0708999952185,390.625,12497500,1243
400.18009999766946,406.25,12497500,1239
398.83440000267,375.0,12497500,1242
402.95619999960763,375.0,12497500,1242
399.9635000000126,390.625,12497500,1244
408.78499999962514,406.25,12497500,1243
404.7987999947509,390.625,12497500,1240
411.8317000029492,406.25,12497500,1240
415.4387999951723,421.875,12497500,1242
390.9092999965651,390.625,12497500,1245
414.7676000065985,375.0,12497500,1240
404.1466000053333,406.25,12497500,1241
406.63759999733884,390.625,12497500,1239
408.0665000001318,406.25,12497500,1238
401.2769999972079,375.0,12497500,1247
